benchmark,factor,strategy,mean
cholesky,0.350,ORG,1.165
cholesky,0.400,ORG,1.167
cholesky,0.450,ORG,1.163
cholesky,0.500,ORG,1.162
cholesky,0.550,ORG,1.164
cholesky,0.600,ORG,1.165
cholesky,0.650,ORG,1.164
cholesky,0.700,ORG,1.163
cholesky,0.750,ORG,1.163
cholesky,0.800,ORG,1.165
cholesky,0.850,ORG,1.163
cholesky,0.900,ORG,1.163
cholesky,0.950,ORG,1.165
cholesky,0.050,EAE,3.148
cholesky,0.100,EAE,3.146
cholesky,0.150,EAE,3.143
cholesky,0.200,EAE,3.144
cholesky,0.250,EAE,3.145
cholesky,0.300,EAE,3.146
cholesky,0.350,EAE,3.145
cholesky,0.400,EAE,3.141
cholesky,0.450,EAE,3.142
cholesky,0.500,EAE,3.141
cholesky,0.550,EAE,3.139
cholesky,0.600,EAE,3.138
cholesky,0.650,EAE,3.132
cholesky,0.700,EAE,3.133
cholesky,0.750,EAE,3.122
cholesky,0.800,EAE,3.118
cholesky,0.850,EAE,3.099
cholesky,0.900,EAE,3.078
cholesky,0.950,EAE,2.964
cholesky,0.050,PLP,1.165
cholesky,0.100,PLP,1.163
cholesky,0.150,PLP,1.164
cholesky,0.200,PLP,1.167
cholesky,0.250,PLP,1.166
cholesky,0.300,PLP,1.165
cholesky,0.350,PLP,1.164
cholesky,0.400,PLP,3.171
cholesky,0.450,PLP,3.169
cholesky,0.500,PLP,3.172
cholesky,0.550,PLP,3.168
cholesky,0.600,PLP,3.164
cholesky,0.650,PLP,3.162
cholesky,0.700,PLP,3.157
cholesky,0.750,PLP,3.148
cholesky,0.800,PLP,3.142
cholesky,0.850,PLP,3.128
cholesky,0.900,PLP,3.101
cholesky,0.950,PLP,3.002
ludcmp,0.050,ORG,16.834
ludcmp,0.100,ORG,16.830
ludcmp,0.150,ORG,16.810
ludcmp,0.200,ORG,16.799
ludcmp,0.250,ORG,16.801
ludcmp,0.300,ORG,16.797
ludcmp,0.350,ORG,16.842
ludcmp,0.400,ORG,16.783
ludcmp,0.450,ORG,16.855
ludcmp,0.500,ORG,16.827
ludcmp,0.550,ORG,16.802
ludcmp,0.600,ORG,16.856
ludcmp,0.650,ORG,16.818
ludcmp,0.700,ORG,16.804
ludcmp,0.750,ORG,16.818
ludcmp,0.800,ORG,16.835
ludcmp,0.850,ORG,16.820
ludcmp,0.900,ORG,16.840
ludcmp,0.950,ORG,16.859
