Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1572237520.230	    67.253	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.05 < /dev/null &> /dev/null
2	:	1572237587.485	    67.213	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.10 < /dev/null &> /dev/null
3	:	1572237654.700	    67.306	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.15 < /dev/null &> /dev/null
4	:	1572237722.009	    67.243	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.20 < /dev/null &> /dev/null
5	:	1572237789.255	    67.216	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.25 < /dev/null &> /dev/null
6	:	1572237856.474	    67.226	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.30 < /dev/null &> /dev/null
7	:	1572237923.702	    67.229	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.35 < /dev/null &> /dev/null
8	:	1572237990.933	    67.055	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.40 < /dev/null &> /dev/null
9	:	1572238057.992	    67.297	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.45 < /dev/null &> /dev/null
10	:	1572238125.292	    67.215	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.50 < /dev/null &> /dev/null
11	:	1572238192.510	    67.085	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.55 < /dev/null &> /dev/null
12	:	1572238259.597	    67.198	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.60 < /dev/null &> /dev/null
13	:	1572238326.798	    67.333	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.65 < /dev/null &> /dev/null
14	:	1572238394.134	    67.179	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.70 < /dev/null &> /dev/null
15	:	1572238461.317	    67.121	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.75 < /dev/null &> /dev/null
16	:	1572238528.440	    67.131	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.80 < /dev/null &> /dev/null
17	:	1572238595.574	    67.287	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.85 < /dev/null &> /dev/null
18	:	1572238662.863	    67.215	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.90 < /dev/null &> /dev/null
19	:	1572238730.080	    67.175	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 0.95 < /dev/null &> /dev/null
20	:	1572238797.258	    67.023	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/cholesky && timeout --signal=TERM 0 ./cholesky.exe 1.00 < /dev/null &> /dev/null
21	:	1572238864.284	    82.660	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.05 < /dev/null &> /dev/null
22	:	1572238946.946	    82.775	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.10 < /dev/null &> /dev/null
23	:	1572239029.724	    82.806	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.15 < /dev/null &> /dev/null
24	:	1572239112.533	    82.637	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.20 < /dev/null &> /dev/null
25	:	1572239195.172	    82.913	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.25 < /dev/null &> /dev/null
26	:	1572239278.087	    82.782	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.30 < /dev/null &> /dev/null
27	:	1572239360.872	    82.796	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.35 < /dev/null &> /dev/null
28	:	1572239443.670	    82.819	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.40 < /dev/null &> /dev/null
29	:	1572239526.492	    82.898	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.45 < /dev/null &> /dev/null
30	:	1572239609.393	    82.990	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.50 < /dev/null &> /dev/null
31	:	1572239692.385	    82.859	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.55 < /dev/null &> /dev/null
32	:	1572239775.247	    82.723	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.60 < /dev/null &> /dev/null
33	:	1572239857.973	    82.859	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.65 < /dev/null &> /dev/null
34	:	1572239940.835	    82.899	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.70 < /dev/null &> /dev/null
35	:	1572240023.737	    82.769	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.75 < /dev/null &> /dev/null
36	:	1572240106.509	    82.761	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.80 < /dev/null &> /dev/null
37	:	1572240189.274	    82.745	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.85 < /dev/null &> /dev/null
38	:	1572240272.021	    82.833	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.90 < /dev/null &> /dev/null
39	:	1572240354.856	    82.815	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 0.95 < /dev/null &> /dev/null
40	:	1572240437.673	    82.311	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/lu && timeout --signal=TERM 0 ./lu.exe 1.00 < /dev/null &> /dev/null
41	:	1572240519.987	    81.585	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.05 < /dev/null &> /dev/null
42	:	1572240601.574	    81.707	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.10 < /dev/null &> /dev/null
43	:	1572240683.283	    81.653	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.15 < /dev/null &> /dev/null
44	:	1572240764.938	    81.486	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.20 < /dev/null &> /dev/null
45	:	1572240846.426	    81.629	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.25 < /dev/null &> /dev/null
46	:	1572240928.058	    81.549	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.30 < /dev/null &> /dev/null
47	:	1572241009.610	    81.653	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.35 < /dev/null &> /dev/null
48	:	1572241091.265	    81.576	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.40 < /dev/null &> /dev/null
49	:	1572241172.844	    81.597	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.45 < /dev/null &> /dev/null
50	:	1572241254.444	    81.605	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.50 < /dev/null &> /dev/null
51	:	1572241336.051	    81.640	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.55 < /dev/null &> /dev/null
52	:	1572241417.694	    81.721	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.60 < /dev/null &> /dev/null
53	:	1572241499.418	    81.614	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.65 < /dev/null &> /dev/null
54	:	1572241581.034	    81.598	0	0	0	0	cd /home/guilhermel/Programs/tf_phoenix/Benchs/PolyBench/linear-algebra/solvers/ludcmp && timeout --signal=TERM 0 ./ludcmp.exe 0.70 < /dev/null &> /dev/null
